name,address,type,gauges,bribe_ca,fee_ca
vAMM-WETH/USDT,0x8a263Cc1DfDCe6c64e2A1cf6133c22eED5D4E29d,vAMM,0xC4c063941Ba3b130f99769AB7e801ACB7b09E29F,0x1A320931a8FeFca767a57A4821c9102F018d05Eb,0xD3e7552A1B012cD931157AdF88BBEC62941bA94F
sAMM-DEI/USDC,0x7DC406b9B904a52D10E19E848521BbA2dE74888b,sAMM,0x825578C8DA55dEb820c791644feBEBB7E175f29B,0x7970a7F4b00b20daB1ADc47CFDB5A0804D7f4863,0x6A81E5Efccf6008A0D44834F30303226a6F2A145
vAMM-IBEX/USDC,0xeee5FBcFF2f22b351D0A693ED62C515C01ef3EcA,vAMM,0x1f7e68c50D9e71f682CF56E10faD95260f033c16,0x2BeD4814457Ff26d15D4306052814C6Cf76aa0E6,0xaF072B91CD91C5C574aefde1C58eBCBD43eDFa52
vAMM-IBEX/WETH,0xd306c21Da241fB0eE03C658Ceaa75daa8fE78658,vAMM,0xE71257F375406B44b811C811C8A9905A35BAb89C,0x9CE6d67c560eeB37bC07561415D89721738160f3,0x985962D083bC071908fC5249e88A44CEB77D49a6
vAMM-RDNT/WETH,0x9aC09266B68a8Fea081C232e54fA31526E740570,vAMM,0x827d31D1Feb229999952995d7993Ec46b4c68006,0x243704fbD23CB0834b6B2aE1B90212E34bA099d7,0x47c8838FAE17987d70A75dc84b3653196e24e19B
vAMM-TAROT/USDC,0x33633B88782A4dD0B46349e3F60a71690Ae9E0b5,vAMM,0xc9362aB98975Bbe520366C7a21f198D24dEFa9d8,0xAB9ea6661F687b4408dCD73Dc6a4C59f173Cf412,0xBBECF58871C4c58b2d87F9D39A7aa106Ed4Dd3b8
vAMM-fBOMB/WETH,0xd36b843E8Efced2CbCab007B5efdcb01891DF331,vAMM,0x1fDC1BbdAA2604921f9e8D64D3aA57FCd364D1cC,0x344aa3faBFC2cAAE1beEFe85e1860b44D148aC7D,0x7Ed85D30DB8b0d56b451375Ec828c35E5b817D09
vAMM-LDO/GRT,0x9322CC6471527158E089e8F50a799eA9A7072F7E,vAMM,0x4d4aF2Eac968A8EAC44Cb7De1C5b1Cf3C8c576D8,0x1092394890e957Fe80F11Ad9f0313F1d10f0Dea5,0x2E686ae5A98Bdf967A687088785716643D56910d
vAMM-WBTC/WETH,0x5b69430721B580bB502af14d07001aC5de10aC6a,vAMM,0x9B27ef426e6618E32Ddd68628F939F620649bD9A,0xA588d7873b43eDD1568630597C833CbE292476b8,0xBCCC70dCf65395CE61B6F636f128743787641DBd
vAMM-ARB/USDC,0xd302119B5C46d504D0b3534312e56eC321976251,vAMM,0x559102b8CfbE64551177A9BE1e5E754a73C2BEE8,0xB5AD706a3B2C2CeF4A9d5EbF8272344b7665eBA0,0x6177044ceeB717d731fc3521c3860522Fd9a1Ebf
vAMM-CHR/fBOMB,0x395533D4De1981D57261a2145f526c94c211fd10,vAMM,0xc9bF7be0C050755cCABf138526c5cAC3E92A024c,0x78AE2997Cc02fCFaAb0Ef9547993D391FEb01CC1,0x0d502727C7C0c4b5a04fa1A6C1ca29843E3260e6
vAMM-xSHRAP/WETH,0x100453B34BEf6Dc553609b409f5e311C1b378b3A,vAMM,0xa7B53712796f0b7e6949845E71d1Ecd529AFEFf8,0xc200ba7fa57a3A4904a9FBd225CAb57B08D6e662,0xC4306b7015431dE81E56D7b4ef9C1899880c0939
vAMM-TAROT/WETH,0x55657b330676b722a1895B7C41f49A2175a2a82d,vAMM,0x49730C5f15BcaF303aa3169b258920aC210c4c24,0x7c8391A743512cD49DB96586Bd8A4f18d12AE758,0xF6B6a69c7C37B850f441444ad7D728060B44Fe99
vAMM-WETH/LUSD,0xc5b7AcC5Dc13679eb180702a1C40df1664b3078B,vAMM,0xE1b5E0394E2eED6685438e9aBafa8febA6E6122A,0x46C2B567C3Dedf7dBd7108B1C1c759bf8FD2e1e0,0x20fAF5eB1B043af27770FB7aB317BC24277a4068
vAMM-GRAIN/WETH,0x94bC3D5Dd121d6fBc07aD18BB2CC50c3B337C599,vAMM,0xC9C992cFef28952Bbe2E7de94040C822d4abdf0D,0xC7c7406AE61A25108e67240859BAAe0E8bFCB544,0x1c7A8D6e0C0caeA603d8d465fb0f7cdbbB5b4457
vAMM-WETH/ARKEN,0x498D4C5910f8384a4d8F200D0339016Ea1EBaB32,vAMM,0xFAaFB10BBF133E8a545F41372D0b1F32470755f4,0x83aFa37bf1da990e5E04889e108DEb00f52bbaC6,0x9Dc52A6f83729c69eb403dF1CFbb2FF8c43cF2b1
vAMM-WETH/IDIA,0x579E22665454367DdD2EF6C1A7fBb6873f465c10,vAMM,0xd4Fa562336452e92d9a911eD49A19763B5B513a5,0x875aDB4656922373F74a38d83Dd6673bbFc4aD8D,0xb0C86f947da0d4Af96Eb9dF3541774187de099aC
vAMM-IDIA/USDC,0x0236fE5972565FA8C4a9f3911DC943Fdf4045714,vAMM,0xDdEfF52742072FaDFAC256292C7aaBa31A2E286E,0x169e25A2B20c4beFA2e05cf3EFC17b3d25EF89B6,0xe704898Ee129510D1828C8A7dF414AAB9610aCf2
vAMM-FCTR/WETH,0x149A0C7B1B0a9F844466BD9283F9c78D788B453d,vAMM,0x1FacC9F9ACfD0a6fC86C60BbfC247b30BAa6A740,0x45CE07e87df3004D0A9881a8251349e2b2f9F24a,0xd7e3D0004dDDF3b01ecBF6999b466bE30cb13B00
vAMM-Y2K/WETH,0xdB58bA3B74CBBa91E80F8329Ff9A5b19036EC3dF,vAMM,0x31A3C0e8ca59032B2171fc43B2C08d06c316FE43,0xfe09090E3a74a9853C0F8874f1a2D04045D584ec,0xf7e84f501A756B6231032009A4843f2Ad853C8Ec
vAMM-Y2K/ARB,0xA3Cb02cF2306341b6F4734A1B62F4e7D1Ea425E0,vAMM,0xf6FD20D4380ab3B426263B14562bC1DB24e984D4,0x5E0b37D75FbB66727a202f71F7CAb78489f30835,0x6811cb0810dE38a37b878C25a338a4F408435Dc2
vAMM-POI$ON/USDC,0xC10eF6416f8101802ce3FfCf5C2995d1044a40B6,vAMM,0x79605237E2A3e96eBa69cC00D4d7f5B347FcBcE7,0xA807cFF0Ac399FA3134b3D53687711c86Effaad0,0x99D5C9C6B343b789C0eDd968D5B1a10d21A1060A
vAMM-gmdUSDC/GMD,0x32BB571772722153638786e9F5289667a973dccD,vAMM,0x201d33673CC18Aafc18C9eef0DfDaa8c46562bf7,0x6CF2283BB95783f5B3f8bee31aBF4C72238C6C5a,0x7Ce65558b1C41Ad45aBff061f655258988fCdEAb
vAMM-ACS/WETH,0xaCBe2F5459C66317D85E5E9d77e37dC957E2Ef67,vAMM,0x4d91929fd8b0d393be137278AF59267e8FbF6BA8,0xeAE9a80380c0C7e7f6C6Ab67B37f74Bb6A8BB9A6,0xa8235A7A7890103FD1C9cd0986f2966C661cB166
vAMM-WETH/DEUS,0xAa02446c845859Fc0D967f62964A703EdDA160c2,vAMM,0xB387498187DaEee6C5b006aBCbC7a8B898D367f5,0x0cF9Ce01b99A62B1c2AE7A79370aF5f8518dfa9d,0x8EFd0bBB59eDad419894311901602C032622179B
vAMM-WETH/elCHR,0x176791a1aFc80D201d4d0A5a9A66Bbe726F83ee3,vAMM,0x81d421026d4d163441AF16F3A1Af07C4Fed50563,0x9F056541A825eB3d55B2F6F537fd40EB079fec79,0x1EC6C6cf342e5d4B7a30433A5e4B8C9943b83c2b
sAMM-frxETH/sfrxETH,0xd52862915de98201bA93a45E73081450075C4E33,sAMM,0x548e0D4Fcb6b82a025E6770066b4127C5FCcBF07,0xAb4D888b139bBe0Fef035A78a77e72610cdBc379,0x56dC99D99ED6e338632614b820e7731c164Ef35C
sAMM-frxETH/WETH,0xdb286ED48b294D348593bFAf1f862393FA8776e9,sAMM,0x9A028F3Dd7067479b51ee89CDb0Db594744ebfAd,0x206f0b6D4545dF29860fc40c0Aa148E79598E52f,0xa1Cbc80c901E3450F5e560E40dAA885906260f22
vAMM-WETH/LQTY,0x393c93f8133bc89db3177D6e10182Efd4129D0d1,vAMM,0x5c2A7931A05BC7e5a8449B175cf265Ae09286A81,0x97EE67704f2D75C6A39980af8bcA8d08B76748a2,0x569165980547531953Fb941F8E76799C65DA2058
vAMM-fBOMB/USDC,0x2773f3803dCac45780b9593305Bc66249DC14946,vAMM,0xfcFc64C3B9ba35ba1Bc0312cFa0ca319cf1631ce,0x7c7C47272FE305cAD8735A4CB05B74466CafCB2f,0x7A2a69820bAD8dA9b81095f3959e4900b1395930
vAMM-DEI/DEUS,0xf4B478c32E43EEa1c288ac96b71f3de095672C3c,vAMM,0xaD48C061DC312e49E3efF9073cb4602dD03e0679,0xDCD9a9eA832f3FEd4E916F3eBF1D85711771Af97,0x42C055e105020E99d54D84e4d88160E7B395f63D
vAMM-CRV/DAI,0xf5ADF3a54F28F0Bc0D37f11E2B17E9975eCB6797,vAMM,0x2b2A8f3E791841AD623E37F5461Fb2443f1fBCC2,0xf3B9aEcD5450F7707B6d71fFC1225eCB4f7D61E5,0x6CaEd4C3b75eA0Af2a4C452f0b1F2196db68FA87
sAMM-CRV/DAI,0xE50eEB34a702E4c69E61b53fcd152f9711422d97,sAMM,0x74D96756D63916248575149d3a876490F23bf622,0x72501B0daf7f376A0cb6C7C080b26404E75940e3,0xc5f4E03faFb1fc5dDe8586d753e475FFC6143e7A
vAMM-CRV/USDC,0xd31de8041f57F9868572088e6FecE75035f19211,vAMM,0x3AAdd82500eCB6F6BB3b621c380cfbd80B459F38,0x732887edd2Dd282EC798Ba73b43b5e382c5ABb64,0x6ff35cA0Bb6215eD9F9445D8297CdA51114c456b
vAMM-CHR/DAI,0x5a1C10abf842DCDdfA0cAfd7Ba3BdB5Fd42091Db,vAMM,0xca29087268188F3A5898814BA9799D1277398E78,0x719BC03C18D34ad2de6d15a3e0D622EF5D293B57,0x8cf93197079120219Bf9C9e0CC36B372793A1056
sAMM-DAI/USDC,0xfd1e3458C7a1D3506f5cC6180A53F1e60f9D6BEa,sAMM,0xd3B8DE04b90b4BaE249E5F0b30ae98d7F02b6DAb,0xeC0682360d74d7e318153a73380019C38639F0fE,0xC2Db60C96328C4D5796c18C33b071AdF27609326
sAMM-DEI/USD+,0x94C20B48FAED9148A00CCF3229f4e50F791A26b6,sAMM,0x8Bc7811fdC24c82E842452F6EA3C7a20e1994889,0x8114298957AC47a58bfaC2cfa6d0402731e37270,0x61F68CAF7f92e734c0476dF81F2C4B7934Ec72F8
vAMM-gmdUSDC/YFX,0xE83D6b56b0a88b9FfdE444835B7c0b8B76cffec9,vAMM,0x6cf973FA85a396AAB47252153E09Ed7915A2B0Ca,0xaB4d397BAC182E2978d8014bDf955A50f55a269f,0x5fF6028d13D6fb152d685e0aBAD50dc79022129d
sAMM-LUSD/USDC,0x4F7ecB899871114F75c052D94a74ebd316f20660,sAMM,0x1b918A614612D6F94Fd3da7aD354480ecB3c5aAa,0x33d190e6d107815EB4fC5C4DCDd30CAc6DD4774c,0x0F4b7b921029573c85893A25d67B0CaaF7cf80ec
vAMM-pGOLD/USDC,0x2692fc90eEf78E90f1d59C908D284f5B483E6681,vAMM,0x34C8AB30D5961920eB42976E147Cc1a1675D4e07,0xcCA7f4C92eD62d3Ec7E9Bf13406766F74318104f,0x264f7714D704Bc528E6a04F303949d9b8ce240DD
vAMM-WETH/LEVI,0xf537d197CcdDA73b454EcC0A36A91BCBE157C071,vAMM,0xd160c5B6acC9EdC3C8e21B6a06522522037b2b04,0x36dc5feE42E4a431C1F1721d2a988300c599bbB9,0x2DA78249d126d89055453d918C7De34e6C77317E
vAMM-WETH/MIM,0x75D04805B1fB385F53CA7177bCE2fF6a13eA5994,vAMM,0xA28214E1F0939746cd38fb7735B3cC2DAbbc4d86,0xD4A15065C3E597993E7B073995dd00EC7c759f49,0x985D04F70027aF5DFf2fE9E690F5dBCAB1D15651
vAMM-ARKEN/USDC,0x34a41E6C44224bEb64b7c6c7b48AD1475149Ed16,vAMM,0x89a746b7a395286264Dcf537D26961325b84747c,0x90a82b0ccE44117c8bf7Fc43F7F8607f53fb8Cea,0x8748dF4D0186C460459Fa37B511F3059d2c3563f
vAMM-LQDR/WETH,0xDDbEC81b3F3A6bbeF804Ad37087b54DaC70983c2,vAMM,0x8B640B50889b86B68b113144a0b3a38770A5FB02,0x8d1f51600C404939D0Afe2fB2f9bcE418aEb10AB,0x9DA01E3e6BB531c76371bb25E2e5dC7D7a734883
vAMM-YFX/USDC,0xDBf5c47eA7bC6384eC8b8e60CADf885e736bcc09,vAMM,0xa8D2a15B05d0c8Caa2D19427bE698Bf1b5D96521,0xc12bdBf0bA8615FAd7000FC7fd150C2D3bb8E5e7,0x17CDB6950717e55057e15C969DfaDbB0177863b6
vAMM-pSLVR/USDC,0x7593cf5f60FfC2F7a9a7aD3e40754bad3eAeb640,vAMM,0x58Be6E82aC1e25DEf0f7Ab9ee5B73fD7B2c3eB10,0xFeEf1A73518879032462dd744d977B51DcE0244c,0x5b45E51bBe4e7C8d38f13D666Ac982F3f703b6FE
vAMM-pOIL/USDC,0x254c14A76ab5f00bFA322eD5F822EA639A23A824,vAMM,0x502aFC3a23E0Db850b34EC72A32F1332E8C7117F,0xD054733e67Bf6E1A9671aDA6bcB624F4cF5CCada,0x786ca21edBcc60C6149300976c6936F6B2BeD59D
vAMM-pTSLA/USDC,0x1d96C04F6fE22510AcB3ca333387e8a9b4824eC7,vAMM,0x143F4D101F3584A2069Ca80115e0EC4Bf4AF5899,0x96d6d12A56253C54a61C05e35f901CCDe1F86031,0xde161fF401cc3B1332211F1C75dE8fBA14AF2262
vAMM-pAMZN/USDC,0xcB03b1e29Da949aE277F09abB74D8A9D6f69A1f7,vAMM,0x8ab2AFbfae13f49Bb9d0063ccDCB42c333851f94,0xBD459976DfdFC581c292f779D2CADE73905d048f,0xDd5DEBC19fF96D57f7CdA3A21131Ea5846d4C576
vAMM-pAAPL/USDC,0xADb72bAa02477e40EF2337b19f11fAe1F540B3B9,vAMM,0x6b285500EC2039e2c8c0cD84Cbe4BfC8Be42399A,0xf2160473198172b8B23Ed3E1Ce1110b7775d10D2,0x459F46b3072b60e9c14e3771a85A980FaBa91A32
sAMM-fBOMB/WETH,0xaE511841feDFa36856541FA5e882F3c74991A21f,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-pGOOGL/USDC,0xdCF8987b73d5A136d720A6B9ea729962EA2fF57F,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-pMSFT/USDC,0x1ac2912aDf6beDF96F611C151DF03bcC0A238057,vAMM,0x726F25d943B0c63e43605280Bf45b05eD2352aA9,0xDA28F7d713c8Fde8ccfE529AF34fcCac4386f2DC,0x165ca210436691e050dC6348c9520d160E3dC70F
vAMM-GMD/gmUSD,0x5FAdCeCf7eF4d08Ce7F94093e3bDcB1abe642D85,vAMM,0xaa59788F6e401816ad335233a2E87F404cb52c3e,0x61F094834617d622A7D536593e45C9228Ba54104,0x54d906347db8a47B77AF607FaE79e9C9F3A05c9c
vAMM-AIDOGE/WETH,0x54aEFce0b958389c24409d180bbFa5B2c4Ed8915,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-gmdUSDC/USDC,0x91c04baf6953930D1a2F5Df6dae0EB653aBB1caF,sAMM,0x5C343860BB5B713E17B3200eADB64b3055ca63cB,0x25a034978aFBed652A460d403C97Cc19746d8bBA,0xdcb9Cb29e380CB5A0340FE95E34380F8Ef53FDB8
sAMM-DOLA/USDC,0x7D6DB47d1c68f89fDa2BD9385cfF8c78e2F2dD07,sAMM,0x5515F3F87eCa062F0EA84f29b273c3f37EC78af5,0x31A087A0D343Cb3538dc0cB4177a79191b38063a,0xf97c958fA04cAB616068b2a46ac8cc9E8d781627
sAMM-LUSD/USDT,0x5F4f21D9159b6139793c78aD8F17b6B7f93b75E7,sAMM,0x5a12C3881552851eD61CBADc6a5e19579C414A16,0x9FcCa2994ED545a5F39b04B197997B0eb996eDF5,0x275558817fe18679C1a1db16C762a779690018Fe
vAMM-wUSDR/USDC,0x278f76df86EfdcbE0f2573AE54e917505621E312,vAMM,0x7863bcC83fA7008CB421118AC05bFe7D5Ad5bBf1,0xaFBD6299F496c44fc676AFB510B5261623E2084c,0x65581717e7B642dAd4cce3e4d638DF518ea8c83A
sAMM-wUSDR/USDC,0x4f2BF692c970F5ecb04a04E5Bb938857D5F86d30,sAMM,0x2b8B58484da5433cBa104D121A3D5dba18E58cf3,0xfCdFfcCe11df97581bB772D3a15b2dD718B83d6F,0x76A7bcE8A68Cf7FB53A27FB07d20c2845Ebb1ecE
sAMM-ARB/USDC,0x3f637E5CA73643472d362C2193564d9148947C4E,sAMM,0x1AA4FCDfD16e4496cB482ea0BdE1cAF2e5Fc1B1b,0x62D61f818694224ebB762fe592db601f9DEfF3D1,0x53f50f7f724f96847cD0bda7134306285c6dc8F6
vAMM-fBOMB/ARKEN,0xF3F372A98395D411Ee4E202221490CB97F6fC962,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-pxGLP/WETH,0x323f89F0426D70eB5DA9D381873146f1BFecb8aA,vAMM,0xb1B15239c8F998165612325E9c860beE94DAB3c6,0x046d5dCDe63A0Fa372D210Bf483c247b3665A74c,0x9e05426eef5E6912c20497855D253f24B5FFe4A9
vAMM-GND/gmUSD,0x01b325acD3170A90ca8399441B7FBD8727598008,vAMM,0xb33Ac6A73e88F113A8BE1f5db02266232A07Abd6,0xBEdd044Ca554655ae5Ce4D2C8071E30D95FA0283,0x964F47490F67A44851DB2da9be1ec5F95d5800f6
sAMM-CHR/keyCHR,0x1cfa12E84598B281ebfd4652Ce06f8eeEBb4c03d,sAMM,0x0789cE2258E2D341d71D3559411969a05e2f1B7F,0xF33265903d569f6C5E742ad58c58F319C621577d,0x7F9d8F595454240ea23C9fc43688eb9598C3c696
vAMM-THOREUM/WETH,0x20b8B4619E5dAe824d481B4a5b09cFf669ffDC48,vAMM,0xc957d91F7675c0e36C700390b6226762799483E3,0x32CCf1F6b814f7a0314E715a27DB0580CE46da6A,0x735620524E33695D87F5dd8a3Ff183Eea755Da67
vAMM-WETH/LIBERA,0xf3C86e817Af82A0ce26B1998A89A906833f7ea4d,vAMM,0xa8B3Ec4f432aA7B1AC5CF1A406391941018D754f,0xB589Db4FAEeDdb6c803CeaB34F11E64E51CE7A2e,0xEFf54550CE1Fe98ff1151C428dAdC7EDeB0da335
vAMM-IDIA/USD+,0x69fD0EA1041BC4c495D5371a074BF1dcD6700577,vAMM,0xD1C05e0770968c8b9C7dC0f3aC1DD419A3417971,0xf234FF7E2A4c18975ccb53D5d9989AC8bF82eC08,0x4347abF416248a51E6EC279cb3337880d8AEC557
vAMM-fBOMB/USD+,0xeb643AC9471E9bbbe1bE1c70ca39d1f9B8AD7D94,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
sAMM-CHR/spCHR,0x4484ce1f30bBce0E5F57f2D11037a36A8D508A74,sAMM,0xE10Df51EbCbD11e9eA4464e7fb950Ee3216D1cB0,0xEC3411fE91276A6Cdc327996BfEF5B017e9E3950,0x1b3ccb19c08a4a95B870f306b7191e747fB5a832
sAMM-RDNT/WETH,0x188b731Ac63e56926101f080B05e5F9c10E94427,sAMM,0x31B7bb1452ed521D3B3A119EbE7e9EE76481Aa70,0xB817Dee43fAe8b81618Ca7F97E4e94150bd36bfe,0x747449EcDf8e29794ea7695bE7Cbe872e6C92BF1
sAMM-WETH/ARKEN,0xa411bCFBEfe717cbcED45254099E9FbB3B28C9aB,sAMM,0x47D0CbE86b28C279c61f11B487689ef460FA32fE,0x59DDa6726711c02A7F9dA2A8357b5F8f5eAffdBf,0x426753aa30A76e87e61B281193aC1957a66FbD2C
vAMM-CHR/spCHR,0x07a0d68e73A508Fb8D7E2b28ab96AaC624d8920f,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
vAMM-CHR/keyCHR,0xeD68C3F7A49a5655eAf9CF1476eC0d88dd5A190c,vAMM,0x4b08E3cB9C9f5623436C74B586A7bD4b9ee623f4,0x8f0fD092434cab0c79e02EEeC93720775A96ce23,0x721Cc6c18dF50E61E333F5D01ee46048dCe2EBe2
sAMM-USD+/USDC,0xA885a1E7511CF6B572d949b1E60ac0A8449F3b18,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
